noise_std_m,split,method,n,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
0.05,val_cph,E_sparse_coarse,3369,5.6694369480438285,6.997381362183192,-4.11590648624737,5.143707275390625,10.291231536865238,0.7749380246126452,0.7471511801688467,16.956691569752163,25.545865091784247,-0.6935278935518173,-0.4219579297627699
0.05,val_cph,F4_depth_affine,3369,6.245704905285448,8.29895849347512,-3.1991354700806425,5.210808753967285,12.373534011840821,0.5223723411400389,0.509361024507905,21.55130150583055,33.38247392917501,-1.3448041245125482,-0.8402921970467958
0.05,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
0.05,test_ny,D_sparse_mono,728,11.6665358221578,15.349117358183776,-8.262367246503645,9.377283096313477,24.038203525543214,0.6661114071184645,0.5614756663428471,13.723837639201356,20.908521033797257,0.006559343771531051,0.0658580412315771
0.05,test_ny,E_sparse_coarse,728,12.964648022550506,15.255981302990733,-11.418903394265786,12.455205917358398,22.811818218231203,0.8325804980898622,0.7045780963998286,16.14312708523809,20.86712660588009,-0.02116811041124168,0.02617127476858352
0.05,test_ny,F4_depth_affine,728,11.6665358221578,15.349117358183776,-8.262367246503645,9.377283096313477,24.038203525543214,0.6661114071184645,0.5614756663428471,13.723837639201356,20.908521033797257,0.006559343771531051,0.0658580412315771
0.1,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
0.1,val_cph,D_sparse_mono,3369,6.245791953848893,8.297371104118541,-3.196959256653576,5.208438396453857,12.372736549377443,0.5223187400360217,0.5093836964088871,21.551513989766438,33.38295999066583,-1.3448766427857222,-0.84030262485249
0.1,val_cph,E_sparse_coarse,3369,5.669568384314863,6.996862726957432,-4.114858198715941,5.143675804138184,10.290892982482914,0.7749794936607586,0.7471919448844407,16.956787983576458,25.54609594673946,-0.6935623121742914,-0.4219655023359526
0.1,val_cph,F4_depth_affine,3369,6.245791953848893,8.297371104118541,-3.196959256653576,5.208438396453857,12.372736549377443,0.5223187400360217,0.5093836964088871,21.551513989766438,33.38295999066583,-1.3448766427857222,-0.84030262485249
0.1,test_ny,A_coarse,728,15.310683113348844,17.229816992821878,-14.076872021144071,16.376408576965332,24.311287879943848,0.8525406513603908,0.7861556473552086,19.39782981313005,20.781251880484568,0.0,0.0
0.1,test_ny,D_sparse_mono,728,11.666987114569785,15.34739108535898,-8.258759661794322,9.375423431396484,24.03737106323242,0.666032348309695,0.561441195669835,13.723470495458768,20.90815006941557,0.006571666688255036,0.06586663417682653
0.1,test_ny,E_sparse_coarse,728,12.965053349024227,15.255517979265587,-11.417176143666278,12.452386856079102,22.811943721771243,0.8325682762789054,0.704629600007021,16.14299921989441,20.866940894597015,-0.02116181974880438,0.026173754534201073
0.1,test_ny,F4_depth_affine,728,11.666987114569785,15.34739108535898,-8.258759661794322,9.375423431396484,24.03737106323242,0.666032348309695,0.561441195669835,13.723470495458768,20.90815006941557,0.006571666688255036,0.06586663417682653
