strategy,sparsity_pct,split,method,n_buildings,mae,rmse,bias,med_ae,p90_ae,pearson,spearman,mae_30m,mae_40m,rr_mean,rr_med
building_aware,0.5,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
building_aware,0.5,val_cph,B_monocular,3369,8.062834120473706,11.311431424886731,3.310434826771756,5.677421569824219,18.091733932495135,0.31590053756537395,0.27564204912929,13.223391201761034,13.552886107872272,0.8421029743268215,0.9191415409914668
building_aware,0.5,val_cph,F1_nn,3369,0.4288783189842861,2.3056041466096495,-0.28589100420602376,0.003810882568359375,0.07134704589843759,0.9668587439800986,0.9722229466842828,0.7097903357611762,1.722551674678408,0.9984383686348993,0.9998543041961152
building_aware,0.5,val_cph,F2_linear,3369,0.7352777364388274,2.407789305302105,-0.2622516319026216,0.2165679931640625,0.918111038208008,0.9638065056067702,0.964897048390794,1.2037213908301458,2.496282643285291,0.9506998359649854,1.013212695693268
building_aware,0.5,val_cph,F4_depth_affine,3369,6.2102666542004945,8.26979951647544,-3.1472226278763906,5.171945095062256,12.386652946472175,0.5238437104495511,0.5118030815180649,21.602766984038883,33.52943622654882,-1.3623883028483819,-0.8582355701059304
building_aware,0.5,val_cph,D_sparse_mono,3369,6.2102666542004945,8.26979951647544,-3.1472226278763906,5.171945095062256,12.386652946472175,0.5238437104495511,0.5118030815180649,21.602766984038883,33.52943622654882,-1.3623883028483819,-0.8582355701059304
building_aware,0.5,val_cph,E_sparse_coarse,3369,5.644778067240756,6.976376223816167,-4.089916944435575,5.075045585632324,10.235076141357425,0.775741282958577,0.7478756490536911,16.98189647992452,25.617312332679486,-0.7021330179485725,-0.43647677037284177
building_aware,1.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
building_aware,1.0,val_cph,B_monocular,3369,8.062834120473706,11.311431424886731,3.310434826771756,5.677421569824219,18.091733932495135,0.31590053756537395,0.27564204912929,13.223391201761034,13.552886107872272,0.8421029743268215,0.9191415409914668
building_aware,1.0,val_cph,F1_nn,3369,0.2720172505320531,1.8249602031442502,-0.14825158572015795,0.002025604248046875,0.030224227905273453,0.9785332706397714,0.9843236371609337,0.8128636123405563,1.9782399740712395,0.8765325352713313,0.9999523016102503
building_aware,1.0,val_cph,F2_linear,3369,0.5639224443920381,1.9077062343123095,-0.18893116881849265,0.1814289093017578,0.7511772155761722,0.976665118320018,0.9751053435977003,1.3976363473468356,2.9826907125012627,0.836889807754319,0.9984993891043831
building_aware,1.0,val_cph,F4_depth_affine,3369,6.245531391535925,8.300395385692086,-3.201101661117946,5.2098188400268555,12.375361633300782,0.5224192304434623,0.5093334746821587,21.551062577300602,33.3820109202944,-1.3447316616548854,-0.8403128043770963
building_aware,1.0,val_cph,D_sparse_mono,3369,6.245531391535925,8.300395385692086,-3.201101661117946,5.2098188400268555,12.375361633300782,0.5224192304434623,0.5093334746821587,21.551062577300602,33.3820109202944,-1.3447316616548854,-0.8403128043770963
building_aware,1.0,val_cph,E_sparse_coarse,3369,5.669283046033681,6.997840381093654,-4.116851301629289,5.14628791809082,10.292082977294926,0.7749030078768969,0.7471304172277683,16.956581486596,25.545645878232758,-0.6934935836232891,-0.42198306781216116
building_aware,5.0,val_cph,A_coarse,3369,5.56596507348941,6.6291528778552715,-4.676066968662511,5.1284379959106445,10.01800537109375,0.8515735208602535,0.8250587053898352,11.861931615405613,17.269662528202453,0.0,0.0
building_aware,5.0,val_cph,B_monocular,3369,8.062834120473706,11.311431424886731,3.310434826771756,5.677421569824219,18.091733932495135,0.31590053756537395,0.27564204912929,13.223391201761034,13.552886107872272,0.8421029743268215,0.9191415409914668
building_aware,5.0,val_cph,F1_nn,3369,0.041977452393030315,0.4547563120283247,-0.016762194088264182,0.000148773193359375,0.004196548461914063,0.9986502567792463,0.9988666515115083,0.20432684156629774,0.502825901426118,0.971224875932727,1.0
building_aware,5.0,val_cph,F2_linear,3369,0.17274784462892515,0.647284385727061,-0.056282862735767485,0.07230663299560547,0.2370552062988282,0.9972790007794345,0.9961551882628561,0.5873648060692681,1.229193325700431,0.9297479972231675,0.9958733468611937
building_aware,5.0,val_cph,F4_depth_affine,3369,6.34897669521098,8.407183252355372,-3.3954536263923183,5.2824201583862305,12.625542259216314,0.518748671521391,0.5086439675007896,21.846435765425365,33.72592634990298,-1.3655904147041138,-0.877812559199522
building_aware,5.0,val_cph,D_sparse_mono,3369,6.34897669521098,8.407183252355372,-3.3954536263923183,5.2824201583862305,12.625542259216314,0.518748671521391,0.5086439675007896,21.846435765425365,33.72592634990298,-1.3655904147041138,-0.877812559199522
